"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Eya1",0.14592354427664,-0.552018465015374,4.0804728567969,-0.135282964594623,0.892388153537816,NA
"Msc",9.47410765750308,-0.599073292471033,0.709540310560804,-0.844311850298595,0.398495165842112,0.664945417845949
"Kcnb2",0.572397477209611,-2.44527037217897,3.56833084957375,-0.685270081520345,0.49317350753442,NA
"Terf1",143.208589425936,0.127252077957636,0.276721060411448,0.459856860075734,0.645618966941101,0.832750008687509
"Sbspon",4.81756062505322,3.37165474433839,1.22283275782793,2.75724928266342,0.00582898949406404,0.0448166894614063
"Rpl7",7248.91898044453,-0.109908071179622,0.131060427026936,-0.838606081735359,0.40169039671949,0.667177564123574
"Rdh10",580.761992129174,0.210352581464278,0.168812833741174,1.24606984435078,0.212738754601074,0.478573788234189
"Stau2",92.2660158521011,-0.0266789520921851,0.305326042141143,-0.0873785672034234,0.930370605103146,0.970526785337779
"Ube2w",350.469746569749,0.370506194211631,0.220741019483594,1.67846553884004,0.093256252486089,0.2947234006748
"Tceb1",509.380876130745,0.263041699508634,0.201042326982353,1.30838964837352,0.190741181896271,0.451016879575991
"Tmem70",728.188763438025,0.0521359136123988,0.171803595085906,0.303462297085982,0.761537576141496,0.894311783261801
"Ly96",61.9435079987857,0.10171750764387,0.345504008043712,0.294403263857365,0.768449773171431,0.898317159573145
"Jph1",43.174935703184,1.37282112462437,0.562780059659471,2.43935637210573,0.0147134502608767,0.0878922370656483
"Pi15",4.18871508793723,-1.80170084537777,1.27498261657664,-1.41311796878877,0.157621040710993,0.403373974331107
"Crispld1",0.186362900769686,1.37153488662711,4.0804728567969,0.336121556192325,0.736779203650581,NA
"Pkhd1",156.716171988961,-0.216234836873654,0.205612623608694,-1.05166128946039,0.292954977330711,0.570424603462643
"Mcm3",322.596038099566,0.0647226495685243,0.370181579105314,0.174840276290764,0.861205139842952,0.942408292194416
"Paqr8",15.2420606425469,0.474303517635647,0.569035793683442,0.833521410956276,0.404550727606767,0.669787849648187
"Efhc1",5.89794010689859,-0.901156833147948,0.921029395380871,-0.978423530961566,0.327864894799648,0.603747108893431
"Tram2",83.3420376876252,0.17759015186377,0.307628696426898,0.577287339986405,0.563745364473137,0.780008247946906
"Tmem14a",46.5283398306358,0.674174807981623,0.387210588599614,1.74110633291265,0.0816649414925881,0.271697463984299
"Gsta3",15692.303187304,1.18484458750652,0.234363971524167,5.05557479590819,4.29096411805948e-07,1.80776803636791e-05
"Gm4956",107.362773243974,2.73856803356709,0.516620542405421,5.30092748696389,1.15215847396798e-07,5.80809150719229e-06
"Khdc1a",0.550187605886341,2.80284380206903,3.99766325931769,0.701120534736437,0.483227796208716,NA
"Khdc1c",0.372725801539372,2.24017197473427,4.04029504159006,0.554457521461763,0.579265769201215,NA
"Kcnq5",4.6682392088792,-0.305663865754167,0.959219011105615,-0.318659098928672,0.749985033237922,0.888395126873333
"Rims1",0.18339586862878,1.37153488662711,4.0804728567969,0.336121556192325,0.736779203650581,NA
"Ogfrl1",315.124453917957,0.481363770260792,0.165021823081192,2.91697038169283,0.00353449333985145,0.0307385386281149
"Smap1",596.72130678725,-0.0850032873422969,0.162219159887036,-0.524002758992774,0.600276620898946,0.803847028015697
"Sdhaf4",244.978919717851,0.583564007353509,0.249027256376773,2.34337403802333,0.0191102139228135,0.104952768894901
"Fam135a",336.921232348706,-0.447704965433627,0.186176606839271,-2.40473265161685,0.0161843008908356,0.0939867564723953
"Lmbrd1",1763.66060170345,0.238045019782739,0.151720451694568,1.56897120410604,0.116654648912671,0.33667684630943
"Phf3",826.864798909272,-0.0885561954588357,0.153300600623718,-0.577663721463166,0.563491176805276,0.780008247946906
"Ptp4a1",382.937276666538,0.359367978657116,0.299034403296661,1.20176131808018,0.229456016362801,0.49993851790785
"Prim2",86.3897221359542,-0.269326239598643,0.311528762718316,-0.864530893547597,0.387296316857554,0.654160143932809
"1700001G17Rik",1.38544513263197,1.12071568268936,2.42305320644447,0.462522110413693,0.643706950272788,NA
"Rab23",166.887809972515,-0.405772048745325,0.203469038007497,-1.99426926435055,0.0461226362509089,0.189543453952176
"Bag2",94.2543375224221,-0.347313267907259,0.307615493439669,-1.12904998387338,0.258876748709961,0.533077479970203
"Zfp451",167.425162300032,-0.357443683939973,0.224256325721237,-1.59390680637609,0.110956909737577,0.327958891527469
"Gm15455",0.63282854419649,-1.07184181991762,2.45301588055309,-0.436948585785736,0.662148635236804,NA
"Bend6",12.915414239964,-0.935882851752731,1.12780039102797,-0.829830224566329,0.406634779575657,0.671431085870988
